0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	

0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	

0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	

0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	

0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	

0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	

0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	
0	0	0	0	-1.65277e-007	1.65277e-007	0	0	0	0	

4.78664e-010	-4.69582e-010	-1.46324e-009	2.42056e-009	-9.66409e-010	0	0	0	0	0	
0	0	0	5.02001e-009	-2.56309e-007	2.56309e-007	-5.02001e-009	0	0	0	
0	0	0	-2.4769e-007	-9.63845e-007	9.63845e-007	2.4769e-007	0	0	0	

4.07376e-009	-5.57528e-009	-1.3907e-008	2.35897e-008	-1.48498e-008	-8.46551e-009	1.46879e-008	-2.92189e-010	0	0	
3.35613e-010	-3.29245e-010	8.68775e-009	-4.48903e-007	-1.57463e-006	1.57395e-006	4.506e-007	-9.71369e-009	0	0	
0	0	-2.16532e-007	-1.8467e-006	-2.66623e-006	2.66623e-006	1.8467e-006	2.16532e-007	0	0	

1.84458e-008	-3.63639e-008	-6.39921e-008	1.01863e-007	-1.1368e-007	-7.74746e-008	1.43058e-007	1.99177e-008	8.06894e-010	-3.129e-011	
2.99547e-009	6.32763e-009	-4.65063e-007	-3.71742e-006	-4.36855e-006	4.35207e-006	3.74495e-006	4.5484e-007	-1.08154e-008	0	
2.6851e-011	-1.44249e-007	-1.87581e-006	-6.71036e-006	-4.81406e-006	4.81401e-006	6.7105e-006	1.87573e-006	1.44223e-007	0	

